category;product_name;description;brand;color;size;price;quantity;price_b2b
Tops;Men's Casual T-shirt;"Comfortable and stylish men's t-shirt, perfect for everyday wear.";ABC Apparel;Black;M;19.99;100;15.99
Tops;Men's Casual T-shirt;"Comfortable and stylish men's t-shirt, perfect for everyday wear.";ABC Apparel;Black;L;19.99;100;15.99
Tops;Men's Casual T-shirt;"Comfortable and stylish men's t-shirt, perfect for everyday wear.";ABC Apparel;Black;XL;19.99;100;15.99
Tops;Men's Casual T-shirt;"Comfortable and stylish men's t-shirt, perfect for everyday wear.";ABC Apparel;Black;XXL;19.99;100;15.99
Tops;Women's Elegant Blouse;"Elegant and sophisticated blouse for formal occasions.";Elegant Designs;White;S;24.99;80;20.99
Tops;Women's Elegant Blouse;"Elegant and sophisticated blouse for formal occasions.";Elegant Designs;White;M;24.99;80;20.99
Tops;Women's Elegant Blouse;"Elegant and sophisticated blouse for formal occasions.";Elegant Designs;White;L;24.99;80;20.99
Tops;Women's Elegant Blouse;"Elegant and sophisticated blouse for formal occasions.";Elegant Designs;White;XL;24.99;80;20.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;32x32;39.99;120;33.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;34x32;39.99;120;33.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;36x32;39.99;120;33.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;32x34;39.99;120;33.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;34x34;39.99;120;33.99
Bottoms;Unisex Regular Fit Jeans;"Classic regular fit jeans for men and women.";Denim Co.;Blue;36x34;39.99;120;33.99
Bottoms;Women's A-line Skirt;"Flattering A-line skirt for a chic look.";Fashionista Chic;Red;M;29.99;60;25.99
Bottoms;Women's A-line Skirt;"Flattering A-line skirt for a chic look.";Fashionista Chic;Red;L;29.99;60;25.99
Bottoms;Women's A-line Skirt;"Flattering A-line skirt for a chic look.";Fashionista Chic;Red;XL;29.99;60;25.99
Dresses;Women's Summer Dress;"Lightweight and trendy summer dress for women.";Sunshine Fashion;Floral;M;34.99;90;29.99
Dresses;Women's Summer Dress;"Lightweight and trendy summer dress for women.";Sunshine Fashion;Floral;L;34.99;90;29.99
Dresses;Women's Summer Dress;"Lightweight and trendy summer dress for women.";Sunshine Fashion;Floral;XL;34.99;90;29.99
Outerwear;Men's Lightweight Jacket;"Versatile lightweight jacket for men.";Outdoor Gear;Gray;M;49.99;50;44.99
Outerwear;Men's Lightweight Jacket;"Versatile lightweight jacket for men.";Outdoor Gear;Gray;L;49.99;50;44.99
Outerwear;Men's Lightweight Jacket;"Versatile lightweight jacket for men.";Outdoor Gear;Gray;XL;49.99;50;44.99
Activewear;Women's High-Performance Leggings;"Stay comfortable and active in these high-performance leggings.";Fit and Active;Black;M;29.99;70;25.99
Activewear;Women's High-Performance Leggings;"Stay comfortable and active in these high-performance leggings.";Fit and Active;Black;L;29.99;70;25.99
Activewear;Women's High-Performance Leggings;"Stay comfortable and active in these high-performance leggings.";Fit and Active;Black;XL;29.99;70;25.99
Activewear;Unisex Active Tank Top;"Breathable and comfortable tank top for workouts.";Sporty Wear;Blue;M;17.99;100;15.99
Activewear;Unisex Active Tank Top;"Breathable and comfortable tank top for workouts.";Sporty Wear;Blue;L;17.99;100;15.99
Activewear;Unisex Active Tank Top;"Breathable and comfortable tank top for workouts.";Sporty Wear;Blue;XL;17.99;100;15.99
Swimwear;Women's Sporty Swimsuit;"Sporty and stylish swimsuit for women.";Beach Babe;Blue;M;39.99;40;34.99
Swimwear;Women's Sporty Swimsuit;"Sporty and stylish swimsuit for women.";Beach Babe;Blue;L;39.99;40;34.99
Swimwear;Women's Sporty Swimsuit;"Sporty and stylish swimsuit for women.";Beach Babe;Blue;XL;39.99;40;34.99
Accessories;Unisex Baseball Cap;"Classic baseball cap for a sporty look.";Cap It Off;Navy;One Size;12.99;150;10.99
Accessories;Unisex Baseball Cap;"Classic baseball cap for a sporty look.";Cap It Off;Red;One Size;12.99;150;10.99
