product_category;name;part_description;brand;alternative_ids;price;quantity;condition;product_origin;material;price_b2b
Electronics;Smartphone;Screen Protector;ABC Tech;SP001, SP005;9.99;100;New;OEM;Plastic;8.49
Electronics;Smartphone;Screen Protector;XYZ Inc;SP001, SP007;12.99;150;New;Aftermarket;Glass;11.49
Electronics;Smartphone;Battery;PowerX;BTY101, BTY102;29.99;50;Used;OEM;Lithium-ion;25.49
Electronics;Smartphone;Battery;EnergyTech;BTY101, BTY105;24.99;70;New;Aftermarket;Lithium-ion;20.99
Home Appliances;Vacuum Cleaner;Filter;CleanMaster;FLT201, FLT202;14.99;80;New;Aftermarket;Foam;12.99
Home Appliances;Vacuum Cleaner;Filter;AirPure;FLT201, FLT206;18.99;60;Used;OEM;HEPA;15.99
Home Appliances;Microwave;Turntable;HeatMaster;TT001, TT003;34.99;30;New;OEM;Glass;29.99
Home Appliances;Microwave;Turntable;CookEz;TT001, TT005;27.99;40;New;Aftermarket;Glass;23.99
Automotive;Car Battery;Lead-Acid;PowerVolt;BTY301, BTY305;109.99;20;New;OEM;Lead;94.99
Automotive;Car Battery;Lead-Acid;ChargePro;BTY301, BTY310;119.99;25;New;Aftermarket;Lead;104.99
Automotive;Car Brake Pad;Front;BrakeMax;BP101, BP102;45.99;60;New;OEM;Ceramic;38.99
Automotive;Car Brake Pad;Front;BrakeBest;BP101, BP106;39.99;80;New;Aftermarket;Ceramic;33.99
Electronics;Laptop;Charger;TechPower;CHG201, CHG203;39.99;90;New;Aftermarket;Plastic;35.99
Electronics;Laptop;Charger;PowerUp;CHG201, CHG205;44.99;70;Used;OEM;Plastic;40.99
Electronics;Headphones;Earbuds;SoundBeats;EB101, EB105;19.99;120;New;Aftermarket;Metal;17.99
Electronics;Headphones;Earbuds;AudioPlus;EB101, EB108;24.99;80;Used;OEM;Plastic;22.99
Home Appliances;Refrigerator;Shelf;ChillMaster;SH101, SH102;29.99;40;New;OEM;Glass;25.99
Home Appliances;Refrigerator;Shelf;CoolPro;SH101, SH105;34.99;30;New;Aftermarket;Glass;30.99
Home Appliances;Washing Machine;Filter;WashEasy;FLT301, FLT302;14.99;60;New;OEM;Plastic;12.99
Home Appliances;Washing Machine;Filter;PureWash;FLT301, FLT306;18.99;50;New;Aftermarket;Plastic;15.99
Automotive;Motorcycle Helmet;Full Face;RiderX;HMT101, HMT105;89.99;25;New;OEM;Fiberglass;75.99
Automotive;Motorcycle Helmet;Full Face;SafeRide;HMT101, HMT107;99.99;20;Used;Aftermarket;Polycarbonate;85.99
Automotive;Car Floor Mat;Front;MatMax;MAT501, MAT502;34.99;50;New;OEM;Rubber;28.99
Automotive;Car Floor Mat;Front;FloorPro;MAT501, MAT506;29.99;70;New;Aftermarket;Rubber;24.99
Electronics;Tablet;Stylus Pen;TechDraw;STP001, STP003;12.99;100;New;OEM;Plastic;10.99
Electronics;Tablet;Stylus Pen;ArtWrite;STP001, STP005;16.99;80;Used;Aftermarket;Metal;14.99
Home Appliances;Air Purifier;Filter;PureAir;FLT401, FLT402;24.99;60;New;Aftermarket;HEPA;20.99
Home Appliances;Air Purifier;Filter;CleanAir;FLT401, FLT407;29.99;40;New;OEM;HEPA;25.99
Home Appliances;Coffee Maker;Filter;JavaBrew;FLT501, FLT502;8.99;120;New;Aftermarket;Paper;6.99
Home Appliances;Coffee Maker;Filter;BrewMaster;FLT501, FLT507;12.99;90;New;OEM;Metal;10.99
Automotive;Car Wiper Blades;Front;ClearView;WB101, WB102;18.99;80;New;Aftermarket;Rubber;15.99
Automotive;Car Wiper Blades;Front;WipeTech;WB101, WB105;24.99;50;New;OEM;Rubber;20.99
Electronics;Smartwatch;Charger;WatchPower;CHG101, CHG102;22.99;40;New;OEM;Plastic;19.99
Electronics;Smartwatch;Charger;TimeCharge;CHG101, CHG105;29.99;30;Used;Aftermarket;Metal;25.99
Electronics;Wireless Earbuds;Case;WireFree;CS101, CS102;14.99;60;New;OEM;Plastic;12.99
Electronics;Wireless Earbuds;Case;SoundPod;CS101, CS106;19.99;50;Used;Aftermarket;Metal;16.99
Home Appliances;Blender;Blade;BlendMaster;BLD101, BLD102;11.99;100;New;OEM;Stainless Steel;9.99
Home Appliances;Blender;Blade;SmoothBlend;BLD101, BLD107;14.99;80;New;Aftermarket;Stainless Steel;12.99
Automotive;Car Air Freshener;Vent Clip;FreshAir;CLP201, CLP202;6.99;200;New;Aftermarket;Plastic;5.99
Automotive;Car Air Freshener;Vent Clip;ScentDrive;CLP201, CLP207;9.99;150;Used;OEM;Plastic;8.99
Automotive;Car Seat Cover;Front;ComfortRide;CVR301, CVR302;49.99;50;New;OEM;Leather;42.99
Automotive;Car Seat Cover;Front;DriveStyle;CVR301, CVR306;54.99;40;New;Aftermarket;Leather;46.99
Electronics;Digital Camera;Battery;PowerShot;BTY501, BTY502;24.99;70;New;OEM;Lithium-ion;20.99
Electronics;Digital Camera;Battery;Energize;BTY501, BTY507;29.99;60;Used;Aftermarket;Lithium-ion;25.99
